file,width,height,x0,y0,x1,y1
panel_holo_large.png,974,290,44,47,1018,337
panel_side_tall.png,73,289,1125,47,1198,336
panel_holo_medium.png,633,196,44,356,677,552
panel_side_short.png,67,196,884,356,951,552
button_primary_orange.png,667,137,43,573,710,710
hud_capsule.png,269,118,754,597,1023,715
icon_framed_reticle_large.png,121,118,1077,608,1198,726
button_secondary_cyan.png,666,120,43,720,709,840
status_strip_short.png,470,89,742,743,1212,832
status_strip_long.png,1169,94,43,851,1212,945
icon_reticle.png,131,122,64,973,195,1095
icon_bullets.png,127,121,224,974,351,1095
icon_shield.png,128,120,382,975,510,1095
icon_distance_pin.png,126,119,539,975,665,1094
icon_running.png,127,119,695,976,822,1095
icon_prone.png,129,119,852,976,981,1095
icon_building.png,131,119,64,1102,195,1221
icon_gear.png,127,119,224,1102,351,1221
icon_back_arrow.png,128,119,382,1102,510,1221
icon_play.png,127,119,538,1102,665,1221
